id,activityType,startTime,activityTime,actDistance,elevationGain,avgSpeed,avgHR,maxHR,steps,calories
246,Cardio,"Tue, 22 Mar 2016 7:46 PM",7:34,,,,77.0,81.0,,12.0
247,Running,"Tue, 22 Mar 2016 7:33 PM",11:19,1.24,,9.07,141.0,160.0,,158.0
248,Cardio,"Tue, 22 Mar 2016 7:02 PM",28:13,,,,101.0,148.0,,224.0
249,Strength Training,"Mon, 21 Mar 2016 8:04 PM",1:49:23,,,,100.0,165.0,,837.0
250,Cardio,"Mon, 21 Mar 2016 10:41 AM",20:04,,,,127.0,143.0,,236.0
251,Running,"Mon, 21 Mar 2016 10:30 AM",10:52,1.17,,9.17,132.0,157.0,,138.0
252,Running,"Sun, 20 Mar 2016 6:00 PM",33:04,3.65,36.0,9.03,159.0,180.0,5130.0,481.0
253,Strength Training,"Sat, 19 Mar 2016 8:48 PM",1:46:49,,,,115.0,157.0,,1079.0
254,Running,"Sat, 19 Mar 2016 6:13 PM",11:45,1.41,,8.21,138.0,152.0,,156.0
255,Cardio,"Sat, 19 Mar 2016 5:45 PM",20:08,,,,125.0,143.0,,233.0
256,Running,"Sat, 19 Mar 2016 5:33 PM",10:08,1.22,,8.18,140.0,155.0,,137.0
257,Cardio,"Sat, 19 Mar 2016 5:19 PM",10:05,,,,125.0,136.0,,116.0
258,Cardio,"Sat, 19 Mar 2016 5:07 PM",10:01,,,,115.0,126.0,,98.0
259,Running,"Sat, 19 Mar 2016 4:58 PM",7:38,0.9,,8.27,141.0,158.0,,104.0
260,Cardio,"Sat, 19 Mar 2016 4:43 PM",10:04,,,,120.0,131.0,,106.0
261,Cardio,"Sat, 19 Mar 2016 4:31 PM",10:01,,,,100.0,146.0,,73.0
262,Running,"Fri, 11 Mar 2016 7:06 PM",1:28:20,5.32,,16.37,,,8674.0,713.0
263,Strength Training,"Wed, 9 Mar 2016 6:17 PM",1:30:04,,,,,,,207.0
264,Strength Training,"Tue, 8 Mar 2016 7:34 PM",7:45,,,,,,,11.0
265,Strength Training,"Tue, 8 Mar 2016 7:06 PM",25:06,,,,,,,39.0
266,Strength Training,"Mon, 7 Mar 2016 6:10 PM",1:35:00,,,,,,,183.0
267,Running,"Sat, 5 Mar 2016 6:32 AM",1:04:17,6.22,79.0,10.2,,,9916.0,858.0
268,Strength Training,"Thu, 3 Mar 2016 7:34 PM",1:30:04,,,,,,,162.0
269,Strength Training,"Wed, 2 Mar 2016 8:23 PM",1:51:57,,,,,,,223.0
270,Strength Training,"Tue, 1 Mar 2016 7:18 PM",25:02,,,,,,,39.0
271,Strength Training,"Mon, 29 Feb 2016 8:38 PM",1:48:08,,,,,,,201.0
272,Running,"Sun, 28 Feb 2016 7:01 AM",59:47,6.23,52.0,9.36,,,9230.0,827.0
273,Strength Training,"Sat, 27 Feb 2016 12:52 PM",1:57:43,,,,,,,268.0
274,Cardio,"Fri, 26 Feb 2016 7:54 PM",6:12,,,,,,,9.0
275,Cardio,"Fri, 26 Feb 2016 7:23 PM",25:05,,,,,,,38.0
276,Strength Training,"Thu, 25 Feb 2016 8:50 PM",4:00:07,,,,,,,438.0
277,Strength Training,"Wed, 24 Feb 2016 7:52 PM",1:46:42,,,,,,,201.0
278,Cardio,"Tue, 23 Feb 2016 7:34 PM",1:00:06,,,,,,,107.0
279,Strength Training,"Mon, 22 Feb 2016 8:34 PM",1:30:57,,,,,,,169.0
280,Strength Training,"Sat, 20 Feb 2016 6:59 PM",1:46:31,,,,,,,234.0
281,Cardio,"Fri, 19 Feb 2016 7:06 PM",1:00:06,,,,,,,119.0
282,Strength Training,"Thu, 18 Feb 2016 7:23 PM",1:40:34,,,,,,,182.0
283,Strength Training,"Wed, 17 Feb 2016 7:43 PM",1:48:40,,,,,,,230.0
284,Cardio,"Tue, 16 Feb 2016 7:02 PM",1:00:05,,,,,,,132.0
285,Strength Training,"Mon, 15 Feb 2016 8:10 PM",1:37:03,,,,,,,181.0
286,Running,"Sun, 14 Feb 2016 6:49 PM",27:17,2.49,20.0,10.58,,,4078.0,330.0
287,Strength Training,"Sat, 13 Feb 2016 5:03 PM",1:44:23,,,,,,,223.0
288,Cardio,"Fri, 12 Feb 2016 9:07 AM",10:29,,,,,,,15.0
289,Cardio,"Fri, 12 Feb 2016 8:54 AM",11:20,,,,,,,16.0
290,Cardio,"Fri, 12 Feb 2016 7:58 AM",55:18,,,,,,,128.0
291,Strength Training,"Thu, 11 Feb 2016 7:43 PM",1:22:58,,,,,,,160.0
292,Strength Training,"Wed, 10 Feb 2016 8:15 PM",1:19:03,,,,,,,159.0
293,Cardio,"Mon, 8 Feb 2016 8:29 PM",20:05,,,,,,,29.0
294,Running,"Sun, 7 Feb 2016 6:00 AM",1:52:53,13.06,89.0,8.39,,,18064.0,1713.0
295,Strength Training,"Fri, 5 Feb 2016 5:46 PM",1:17:57,,,,,,,148.0
296,Cardio,"Thu, 4 Feb 2016 7:44 PM",9:20,,,,,,,13.0
297,Strength Training,"Tue, 2 Feb 2016 8:15 AM",1:28:00,,,,,,,182.0
298,Strength Training,"Mon, 1 Feb 2016 7:53 PM",2:54:13,,,,,,,327.0
299,Strength Training,"Mon, 1 Feb 2016 9:09 AM",34:25,,,,,,,91.0
300,Cardio,"Mon, 1 Feb 2016 8:47 AM",20:02,,,,,,,29.0
301,Running,"Sun, 31 Jan 2016 7:00 AM",58:51,6.22,348.0,9.28,,,9180.0,817.0
302,Cardio,"Sat, 30 Jan 2016 7:28 PM",55:13,,,,,,,100.0
303,Cardio,"Sat, 30 Jan 2016 6:41 PM",20:00,,,,,,,0.0
304,Strength Training,"Thu, 28 Jan 2016 7:46 PM",1:30:08,,,,127.0,167.0,,941.0
305,Strength Training,"Wed, 27 Jan 2016 7:33 PM",1:08:50,,,,,,,139.0
306,Strength Training,"Sat, 23 Jan 2016 6:32 PM",1:13:45,,,,,,,137.0
307,Running,"Sun, 17 Jan 2016 5:44 AM",4:40:59,26.34,256.0,10.4,,,42808.0,3362.0
308,Running,"Sat, 16 Jan 2016 6:55 AM",10:03,0.94,3.0,10.45,,,1544.0,124.0
309,Running,"Wed, 13 Jan 2016 8:30 AM",29:53,3.12,39.0,9.35,,,4768.0,413.0
310,Cardio,"Mon, 11 Jan 2016 8:03 PM",40:02,,,,,,,0.0
311,Running,"Sun, 10 Jan 2016 7:16 AM",1:17:37,8.17,85.0,9.3,,,12382.0,1078.0
312,Strength Training,"Sat, 9 Jan 2016 6:05 PM",1:30:06,,,,,,,170.0
313,Running,"Thu, 7 Jan 2016 7:49 PM",30:00,3.18,33.0,9.26,,,4738.0,428.0
314,Strength Training,"Wed, 6 Jan 2016 8:26 PM",1:40:12,,,,,,,394.0
315,Strength Training,"Mon, 4 Jan 2016 7:10 PM",40:06,,,,,,,60.0
316,Running,"Mon, 4 Jan 2016 6:40 AM",2:26:23,14.92,138.0,9.49,,,23488.0,1984.0
317,Running,"Sun, 3 Jan 2016 6:57 AM",1:06:02,7.09,82.0,9.19,,,10680.0,935.0
318,Cardio,"Fri, 1 Jan 2016 9:07 PM",1:27,,,,,,,2.0
319,Cardio,"Thu, 31 Dec 2015 6:17 PM",33:36,,,,,,,77.0
320,Strength Training,"Mon, 28 Dec 2015 8:12 PM",2:13:36,,,,,,,239.0
321,Strength Training,"Mon, 28 Dec 2015 6:50 PM",40:02,,,,,,,59.0
322,Running,"Sun, 27 Dec 2015 6:06 AM",3:27:25,19.93,689.0,10.24,,,32850.0,2597.0
323,Running,"Sat, 26 Dec 2015 7:06 AM",56:06,6.22,66.0,9.01,,,9184.0,813.0
324,Strength Training,"Thu, 24 Dec 2015 8:21 PM",1:47:25,,,,,,,200.0
325,Running,"Sun, 20 Dec 2015 8:56 AM",39:03,3.73,33.0,10.28,,,6134.0,498.0
326,Running,"Sun, 20 Dec 2015 6:21 AM",2:23:39,14.92,131.0,9.38,,,23270.0,1972.0
327,Strength Training,"Fri, 18 Dec 2015 6:05 PM",1:46:17,,,,117.0,154.0,,965.0
328,Running,"Thu, 17 Dec 2015 8:23 PM",9:26,0.87,,10.52,145.0,153.0,1428.0,105.0
329,Running,"Thu, 17 Dec 2015 7:49 PM",31:20,3.74,13.0,8.23,150.0,162.0,5078.0,402.0
330,Running,"Thu, 17 Dec 2015 7:34 PM",9:10,0.94,10.0,9.43,134.0,148.0,1446.0,100.0
331,Strength Training,"Wed, 16 Dec 2015 8:49 PM",1:33:25,,,,,,,162.0
332,Cardio,"Mon, 14 Dec 2015 9:08 PM",17:11,,,,,,,25.0
333,Strength Training,"Mon, 14 Dec 2015 7:35 PM",1:21:11,,,,,,,155.0
334,Running,"Sat, 12 Dec 2015 6:30 AM",53:03,6.34,92.0,8.22,,,8736.0,848.0
335,Running,"Thu, 10 Dec 2015 8:27 PM",10:14,0.94,,10.55,137.0,146.0,1536.0,108.0
336,Running,"Thu, 10 Dec 2015 7:30 PM",50:03,5.6,30.0,8.56,153.0,166.0,8082.0,650.0
337,Strength Training,"Wed, 9 Dec 2015 8:13 PM",1:51:11,,,,120.0,160.0,,1053.0
338,Strength Training,"Mon, 7 Dec 2015 7:57 PM",1:58:04,,,,112.0,149.0,,999.0
339,Running,"Sun, 6 Dec 2015 5:39 AM",2:24:21,13.98,151.0,10.19,,,22796.0,1866.0
340,Running,"Sat, 5 Dec 2015 6:44 AM",27:12,3.11,36.0,8.45,,,4410.0,408.0
341,Running,"Sun, 29 Nov 2015 7:11 AM",1:55:23,13.11,16.0,8.48,,,18708.0,1771.0
342,Running,"Thu, 26 Nov 2015 8:53 PM",24:35,2.36,,10.24,,,3894.0,312.0
343,Cardio,"Wed, 25 Nov 2015 9:18 PM",2:37,,,,,,,3.0
344,Cardio,"Wed, 25 Nov 2015 9:11 PM",2:07,,,,,,,3.0
345,Cardio,"Wed, 25 Nov 2015 8:55 PM",2:07,,,,,,,3.0
346,Treadmill Running,"Tue, 24 Nov 2015 7:29 PM",18:32,1.83,,10.08,,,2988.0,246.0
347,Cardio,"Mon, 23 Nov 2015 10:38 PM",24:33,,,,,,,36.0
348,Cardio,"Mon, 23 Nov 2015 10:10 PM",23:39,,,,,,,36.0
349,Strength Training,"Mon, 23 Nov 2015 8:53 PM",1:11:53,,,,,,,138.0
350,Running,"Sun, 22 Nov 2015 7:12 AM",1:49:38,10.57,98.0,10.22,,,17192.0,1419.0
351,Strength Training,"Sat, 21 Nov 2015 7:11 PM",1:35:33,,,,117.0,152.0,,790.0
352,Strength Training,"Thu, 19 Nov 2015 8:01 PM",1:24:29,,,,115.0,145.0,,754.0
353,Treadmill Running,"Thu, 19 Nov 2015 6:50 PM",34:44,3.4,,10.13,156.0,162.0,5524.0,436.0
354,Running,"Wed, 18 Nov 2015 9:16 PM",28:12,2.63,,10.43,133.0,147.0,4328.0,328.0
355,Treadmill Running,"Tue, 17 Nov 2015 7:37 PM",32:27,2.62,,12.23,153.0,174.0,4486.0,434.0
356,Treadmill Running,"Mon, 16 Nov 2015 9:22 PM",41:03,0.94,,43.37,106.0,124.0,1946.0,317.0
357,Strength Training,"Mon, 16 Nov 2015 7:17 PM",1:55:52,,,,116.0,154.0,,1043.0
358,Running,"Sun, 15 Nov 2015 5:34 AM",3:29:11,19.93,121.0,10.3,,,33050.0,2670.0
359,Running,"Fri, 13 Nov 2015 8:42 PM",4:02,0.24,,17.02,143.0,157.0,404.0,41.0
360,Strength Training,"Fri, 13 Nov 2015 6:23 PM",1:59:37,,,,127.0,160.0,,1222.0
361,Strength Training,"Mon, 9 Nov 2015 8:06 PM",1:52:24,,,,113.0,150.0,,975.0
362,Running,"Sun, 8 Nov 2015 5:51 AM",3:19:47,18.65,505.0,10.43,,,31532.0,2427.0
363,Strength Training,"Wed, 4 Nov 2015 8:06 PM",1:14:06,,,,121.0,157.0,,718.0
364,Running,"Wed, 4 Nov 2015 7:23 PM",24:34,2.32,,10.36,149.0,160.0,3778.0,317.0
365,Running,"Tue, 3 Nov 2015 7:35 PM",30:40,2.65,,11.35,154.0,173.0,4436.0,354.0
366,Strength Training,"Mon, 2 Nov 2015 8:07 PM",1:47:12,,,,116.0,155.0,,965.0
367,Running,"Sun, 1 Nov 2015 6:33 AM",1:57:13,11.81,125.0,9.55,150.0,162.0,18250.0,1430.0
368,Treadmill Running,"Sat, 31 Oct 2015 4:30 PM",33:30,3.34,,10.02,162.0,169.0,5272.0,449.0
369,Strength Training,"Sat, 31 Oct 2015 1:57 PM",2:16:10,,,,119.0,157.0,,735.0
370,Cardio,"Fri, 30 Oct 2015 7:38 PM",30:16,,,,99.0,110.0,,142.0
371,Strength Training,"Thu, 29 Oct 2015 8:01 PM",1:39:52,,,,99.0,146.0,,389.0
372,Treadmill Running,"Wed, 28 Oct 2015 9:51 PM",27:28,2.49,,11.02,152.0,158.0,4220.0,339.0
373,Running,"Sun, 25 Oct 2015 6:30 AM",2:58:03,16.16,144.0,11.01,149.0,164.0,27220.0,1772.0
374,Treadmill Running,"Tue, 20 Oct 2015 7:26 PM",35:09,2.64,,13.2,134.0,159.0,4518.0,386.0
375,Running,"Mon, 19 Oct 2015 7:28 PM",1:55:19,1.03,,0.0,114.0,157.0,2136.0,998.0
376,Running,"Sun, 18 Oct 2015 6:41 PM",2:45:39,14.3,49.0,11.35,142.0,160.0,24364.0,1409.0
377,Running,"Sat, 17 Oct 2015 12:00 PM",2:15:04,1.04,,0.0,114.0,148.0,2162.0,1166.0
378,Strength Training,"Wed, 14 Oct 2015 8:01 PM",2:25:46,,,,111.0,153.0,,1031.0
379,Strength Training,"Mon, 12 Oct 2015 7:55 PM",1:39:26,,,,127.0,166.0,,1004.0
380,Running,"Sun, 11 Oct 2015 6:48 PM",9:42,0.85,10.0,11.26,124.0,142.0,1392.0,80.0
381,Running,"Sat, 10 Oct 2015 12:49 PM",1:47:42,0.74,,0.0,114.0,148.0,1542.0,923.0
382,Running,"Fri, 9 Oct 2015 5:38 PM",41:05,3.55,,11.35,149.0,172.0,5944.0,524.0
383,Strength Training,"Wed, 7 Oct 2015 8:33 PM",1:40:11,,,,116.0,150.0,,890.0
384,Treadmill Running,"Tue, 6 Oct 2015 7:35 PM",30:38,2.74,,11.11,160.0,174.0,4550.0,385.0
385,Strength Training,"Mon, 5 Oct 2015 7:24 PM",1:31:21,,,,120.0,156.0,,854.0
386,Running,"Sun, 4 Oct 2015 7:27 PM",1:20:49,8.71,75.0,9.17,,,12788.0,1107.0
387,Running,"Sun, 4 Oct 2015 9:27 AM",43:29,4.36,39.0,9.59,,,6672.0,579.0
388,Strength Training,"Sat, 3 Oct 2015 2:19 PM",2:52:35,,,,111.0,154.0,,1252.0
389,Treadmill Running,"Thu, 1 Oct 2015 8:59 PM",32:24,2.66,,12.1,135.0,162.0,4532.0,360.0
390,Treadmill Running,"Tue, 29 Sep 2015 7:33 PM",36:09,2.34,,15.27,147.0,177.0,3888.0,426.0
391,Strength Training,"Mon, 28 Sep 2015 8:24 PM",1:52:12,,,,122.0,159.0,,1053.0
392,Running,"Sun, 27 Sep 2015 7:11 PM",1:28:19,7.46,36.0,11.5,135.0,154.0,12906.0,765.0
393,Treadmill Running,"Sat, 26 Sep 2015 1:47 PM",28:58,2.33,,12.25,138.0,163.0,4042.0,331.0
394,Treadmill Running,"Thu, 24 Sep 2015 7:48 PM",45:18,3.42,,13.14,127.0,165.0,6050.0,466.0
395,Treadmill Running,"Wed, 23 Sep 2015 9:31 PM",24:48,1.9,,13.02,136.0,155.0,3374.0,263.0
396,Strength Training,"Wed, 23 Sep 2015 7:31 PM",1:51:51,,,,125.0,160.0,,1108.0
397,Treadmill Running,"Tue, 22 Sep 2015 7:25 PM",29:36,2.41,,12.17,140.0,170.0,4114.0,347.0
398,Strength Training,"Sat, 12 Sep 2015 4:58 PM",1:52:00,,,,,,,223.0
399,Strength Training,"Mon, 7 Sep 2015 7:52 PM",1:35:34,,,,125.0,158.0,,665.0
400,Strength Training,"Fri, 4 Sep 2015 9:04 PM",48:37,,,,124.0,154.0,,354.0
401,Strength Training,"Wed, 2 Sep 2015 7:32 PM",1:51:05,,,,122.0,156.0,,694.0
402,Strength Training,"Mon, 31 Aug 2015 7:21 PM",2:01:05,,,,128.0,163.0,,826.0
403,Cardio,"Sat, 29 Aug 2015 8:41 PM",5:50,,,,100.0,106.0,,29.0
404,Strength Training,"Sat, 29 Aug 2015 7:00 PM",1:30:34,,,,110.0,154.0,,450.0
405,Strength Training,"Thu, 27 Aug 2015 6:55 PM",1:55:36,,,,124.0,163.0,,730.0
406,Strength Training,"Mon, 24 Aug 2015 7:22 PM",2:12:22,,,,127.0,163.0,,870.0
407,Strength Training,"Fri, 21 Aug 2015 7:50 PM",2:00:27,,,,123.0,164.0,,740.0
408,Strength Training,"Mon, 17 Aug 2015 8:06 PM",2:08:19,,,,133.0,166.0,,958.0
409,Strength Training,"Fri, 14 Aug 2015 8:04 PM",1:16:59,,,,125.0,158.0,,548.0
410,Strength Training,"Wed, 12 Aug 2015 7:47 PM",1:51:56,,,,130.0,167.0,,792.0
411,Strength Training,"Mon, 10 Aug 2015 7:48 PM",1:48:54,,,,130.0,159.0,,787.0
412,Strength Training,"Wed, 5 Aug 2015 7:55 PM",2:00:21,,,,125.0,166.0,,756.0
413,Strength Training,"Mon, 3 Aug 2015 7:58 PM",1:47:39,,,,126.0,162.0,,711.0
414,Strength Training,"Fri, 31 Jul 2015 8:25 PM",1:47:59,,,,122.0,159.0,,668.0
415,Strength Training,"Wed, 29 Jul 2015 8:31 PM",1:13:40,,,,112.0,154.0,,396.0
416,Strength Training,"Tue, 28 Jul 2015 9:58 PM",1:01:54,,,,110.0,141.0,,328.0
417,Running,"Sun, 26 Jul 2015 7:07 PM",58:57,6.24,,9.27,156.0,169.0,9112.0,722.0
418,Strength Training,"Sat, 25 Jul 2015 8:28 PM",1:34:14,,,,123.0,156.0,,604.0
419,Strength Training,"Thu, 23 Jul 2015 7:25 PM",1:54:08,,,,117.0,154.0,,641.0
420,Running,"Wed, 22 Jul 2015 8:58 PM",27:08,3.12,,8.41,162.0,179.0,4396.0,358.0
421,Strength Training,"Mon, 20 Jul 2015 7:38 PM",1:48:44,,,,121.0,168.0,,660.0
422,Running,"Sun, 19 Jul 2015 10:41 AM",59:03,6.22,,9.3,168.0,177.0,9228.0,846.0
423,Running,"Wed, 15 Jul 2015 8:23 PM",25:06,3.12,,8.02,166.0,183.0,4032.0,356.0
424,Strength Training,"Mon, 13 Jul 2015 7:58 PM",1:30:29,,,,131.0,172.0,,699.0
425,Running,"Sun, 12 Jul 2015 6:38 PM",56:49,6.22,62.0,9.08,134.0,175.0,8846.0,727.0
426,Running,"Thu, 11 Jun 2015 8:32 PM",20:17,2.58,73.0,7.51,,,,300.0
427,Running,"Sun, 7 Jun 2015 6:57 PM",57:14,6.24,177.0,9.1,,,,769.0
428,Running,"Thu, 4 Jun 2015 7:34 PM",32:58,4.11,108.0,8.01,,,,483.0
429,Running,"Sun, 26 Apr 2015 6:54 PM",30:24,3.13,94.0,9.42,,,,392.0
430,Running,"Sun, 5 Apr 2015 6:57 PM",42:29,3.97,117.0,10.42,,,,532.0
431,Running,"Sun, 29 Mar 2015 6:10 PM",10:12,0.98,50.0,10.26,,,,131.0
432,Running,"Sun, 22 Mar 2015 6:37 AM",33:29,3.11,186.0,10.46,,,,417.0
433,Cardio,"Fri, 27 Feb 2015 9:00 PM",20:00,,,,,,,219.0
434,Running,"Sun, 15 Feb 2015 7:00 AM",37:29,3.13,99.0,11.58,,,,424.0
435,Running,"Sun, 8 Feb 2015 6:25 AM",1:27:39,8.05,1943.0,10.54,,,,1080.0
436,Running,"Sat, 7 Feb 2015 7:16 AM",28:13,3.13,88.0,9.01,,,,406.0
437,Running,"Sun, 1 Feb 2015 6:02 PM",32:27,3.31,107.0,9.48,,,,439.0
438,Running,"Mon, 26 Jan 2015 6:51 AM",15:11,1.43,183.0,10.38,,,,191.0
439,Running,"Sun, 18 Jan 2015 6:07 AM",1:47:46,13.42,,8.02,,,,1661.0
440,Running,"Sun, 11 Jan 2015 7:02 AM",1:51:21,11.25,330.0,9.54,,,,1478.0
441,Running,"Tue, 30 Dec 2014 12:11 PM",27:52,3.13,144.0,8.55,,,,400.0
442,Running,"Sun, 28 Dec 2014 12:06 PM",48:58,5.22,213.0,9.23,,,,676.0
443,Running,"Sun, 21 Dec 2014 10:47 AM",1:33:44,9.33,,10.03,,,,1230.0
444,Running,"Sun, 14 Dec 2014 6:06 PM",1:09:59,8.25,,8.29,,,,1040.0
445,Running,"Sun, 14 Dec 2014 6:56 AM",25:50,2.88,,8.58,,,,369.0
446,Running,"Sun, 7 Dec 2014 6:14 AM",2:14:27,13.19,,10.12,,,,1740.0
447,Running,"Sat, 29 Nov 2014 6:30 PM",46:00,3.66,,12.34,,,,482.0
448,Running,"Sun, 23 Nov 2014 7:11 AM",1:48:30,13.3,,8.09,,,,1646.0
449,Running,"Tue, 18 Nov 2014 7:00 PM",15:32,1.91,,8.07,,,,236.0
450,Running,"Sun, 16 Nov 2014 11:03 AM",1:27:31,8.71,,10.03,,,,1148.0
451,Running,"Sat, 15 Nov 2014 11:54 AM",26:01,3.13,,8.18,,,,391.0
452,Running,"Sun, 9 Nov 2014 5:34 PM",1:23:35,8.73,,9.35,,,,1137.0
453,Running,"Sun, 9 Nov 2014 6:36 AM",40:28,4.06,,9.59,,,,534.0
454,Running,"Sat, 8 Nov 2014 7:34 AM",46:59,4.99,,9.25,,,,647.0
455,Running,"Sun, 19 Oct 2014 6:04 AM",1:47:52,11.51,,9.22,,,,1546.0
456,Running,"Sat, 18 Oct 2014 7:40 AM",44:57,4.76,,9.27,,,,640.0
457,Running,"Wed, 15 Oct 2014 6:13 PM",28:04,2.74,,10.15,,,,375.0
458,Running,"Sun, 12 Oct 2014 8:05 PM",32:51,2.25,,14.36,,,,286.0
459,Running,"Sun, 12 Oct 2014 5:53 PM",36:47,3.73,,9.52,,,,508.0
460,Running,"Sun, 12 Oct 2014 5:52 AM",20:46,2.18,,9.33,,,,294.0
461,Running,"Sun, 5 Oct 2014 6:02 AM",1:32:10,9.66,359.0,9.33,,,,1303.0
462,Running,"Wed, 1 Oct 2014 6:40 PM",32:30,2.59,119.0,12.32,,,,354.0
463,Running,"Wed, 1 Oct 2014 6:21 PM",6:59,0.57,20.0,12.17,,,,75.0
464,Running,"Sun, 28 Sep 2014 5:36 PM",1:53:00,9.34,499.0,12.06,,,,1293.0
465,Running,"Sun, 7 Sep 2014 6:17 PM",1:06:47,5.4,314.0,12.22,,,,740.0
466,Running,"Sat, 2 Aug 2014 4:34 AM",1:52:54,9.32,633.0,12.07,,,,1290.0
467,Running,"Sun, 11 May 2014 5:38 AM",2:19:09,13.0,903.0,10.42,,,,1785.0
468,Running,"Tue, 22 Apr 2014 11:00 AM",1:17:59,6.65,479.0,11.44,,,,921.0
469,Running,"Sun, 13 Apr 2014 6:32 AM",56:34,6.02,276.0,9.24,,,,809.0
470,Running,"Sat, 12 Apr 2014 6:31 AM",1:52:55,8.99,432.0,12.33,,,,1227.0
471,Running,"Sat, 5 Apr 2014 6:28 AM",2:50:24,13.12,1009.0,13.0,,,,1763.0
472,Running,"Sat, 29 Mar 2014 7:19 AM",1:33:05,6.55,355.0,14.13,,,,844.0
473,Running,"Sat, 29 Mar 2014 6:45 AM",6:29,0.37,19.0,17.21,,,,42.0
474,Running,"Sun, 16 Mar 2014 6:42 AM",1:55:31,12.71,399.0,9.05,,,,1695.0
475,Running,"Sun, 2 Mar 2014 7:31 AM",1:18:59,8.8,425.0,8.59,,,,1169.0
476,Running,"Sun, 19 Jan 2014 6:18 AM",2:11:23,13.42,,9.47,,,,1817.0
477,Running,"Sun, 15 Dec 2013 7:51 AM",2:15:26,13.39,755.0,10.07,,,,1824.0
478,Running,"Wed, 22 May 2013 6:53 PM",37:38,3.26,156.0,11.34,,,,449.0
479,Running,"Tue, 21 May 2013 6:38 PM",39:13,3.29,155.0,11.56,,,,455.0
480,Running,"Tue, 14 May 2013 6:25 PM",36:56,3.19,,11.34,,,,440.0
481,Running,"Sat, 23 Mar 2013 5:52 PM",1:10:08,6.21,,11.17,,,,855.0
482,Running,"Sat, 16 Mar 2013 7:08 PM",7:07,0.63,,11.18,,,,87.0
483,Running,"Fri, 15 Mar 2013 6:53 PM",36:46,3.14,,11.43,,,,433.0
484,Running,"Wed, 13 Mar 2013 6:52 PM",30:11,2.58,,11.41,,,,356.0
485,Running,"Sun, 10 Mar 2013 5:51 PM",1:19:47,6.46,,12.21,,,,884.0
486,Running,"Sun, 17 Feb 2013 7:05 AM",56:55,6.13,,9.17,,,,818.0
487,Running,"Wed, 31 Oct 2012 7:12 AM",38:18,3.21,,11.55,,,,419.0
488,Running,"Mon, 15 Oct 2012 6:10 PM",32:53,2.51,,13.05,,,,317.0
489,Running,"Sat, 13 Oct 2012 5:38 PM",43:21,3.17,,13.4,,,,392.0
490,Cycling,"Fri, 12 Oct 2012 7:11 AM",36:09,6.29,,10.4,,,,305.0
491,Cycling,"Tue, 9 Oct 2012 5:50 PM",49:00,7.28,,8.9,,,,354.0
492,Cycling,"Fri, 5 Oct 2012 5:53 PM",56:13,7.2,,7.7,,,,352.0
493,Cycling,"Sun, 9 Sep 2012 6:17 PM",55:51,7.16,,7.7,,,,248.0
